id,text,anger,fear,joy,sadness,surprise
eng_train_track_a_00001,"Colorado, middle of nowhere.",0,1,0,0,1
eng_train_track_a_00002,This involved swimming a pretty large lake that was over my head.,0,1,0,0,0
eng_train_track_a_00003,It was one of my most shameful experiences.,0,1,0,1,0
eng_train_track_a_00004,"After all, I had vegetables coming out my ears all for the benefit of the young prince.",0,0,0,0,0
eng_train_track_a_00005,Then the screaming started.,0,1,0,1,1
eng_train_track_a_00006,"They don't fear death, and it seems they believe in reincarnation.",0,1,0,0,1
eng_train_track_a_00007,You know what happens when I get one of these stupid ideas in my head.,1,1,0,0,0
eng_train_track_a_00008,My stomach even started giving me fits.,0,1,0,1,0
eng_train_track_a_00009,"Well, as we're bowling, my dinner began to not sit well with me, and I had to run to the bathroom.",0,1,0,0,0
eng_train_track_a_00010,Hondas are notoriously great cars for long trips for their dependability and great gas mileage.,0,0,1,0,0
eng_train_track_a_00011,It's his reflection.,0,0,0,0,1
eng_train_track_a_00012,"not mine, and not that horrible, but i was browsing the personnel files last week and noticed that my boss' birthday had occurred 3 days prior.",0,0,0,0,1
eng_train_track_a_00013,"i pushed standing up for a while and emerald crowned, but got pretty tired and laid on the bed on my side while matthias held my leg up and that's how emerald came out!",0,0,1,0,0
eng_train_track_a_00014,"Now my parents live in the foothills, and the college is in a large valley.",0,0,0,0,0
eng_train_track_a_00015,"Fortunately the kindly ajeoshis and ajummas that I rented the scooter from helped me get on a bus to the other ferry, but not before pulling me up a seat to thier table and shoving succulant watermelon in my face.",0,0,1,0,1
eng_train_track_a_00016,I remember being scared shitless.,0,1,0,0,0
eng_train_track_a_00017,That was the last time anyone saw her.,0,1,0,1,0
eng_train_track_a_00018,The stone inside my heart was removed; ).,0,0,1,0,0
eng_train_track_a_00019,"Not only was I not able to move, I smacked my head against the guy sitting in front me and things just got awkward.",1,1,0,0,0
eng_train_track_a_00020,I didn't see any light yet it still seemed to glow.,0,1,0,0,1
eng_train_track_a_00021,I unwrapped the candy and popped it into my mouth.,0,0,1,0,0
eng_train_track_a_00022,Remember the farm-ette?,0,0,1,0,1
eng_train_track_a_00023,I took offense to this because as a supervisor I wanted my team to be in good spirits and wanted them to love coming in to work and doing good things for the mission.,1,0,0,0,0
eng_train_track_a_00024,""" She awoke from this odd dream and told her mum to wake up her sister.",0,1,0,0,1
eng_train_track_a_00025,It broke my heart and nearly ruined me.,0,1,0,1,0
eng_train_track_a_00026,"R-I get home and park, just when I think everything is about to turn around, I slip on the ice, and fall flat on my back.",0,1,0,0,1
eng_train_track_a_00027,"She said that I shouldn't do ANYTHING with my finger, not even type.",0,1,0,0,0
eng_train_track_a_00028,"It definitely makes my hand feel weird, and I haven't thrown up yet.",0,1,0,0,0
eng_train_track_a_00029,Now when I have too much to do my brain just gets distracted by all the other jobs jostling for attention.,0,1,0,0,0
eng_train_track_a_00030,I expect them to come in the backdoor any second but I hear nothing.,0,1,0,0,1
eng_train_track_a_00031,The rattling in my brain clogs my nose.,0,1,0,1,0
